id,cltv
89393,92423.1749749605
89394,127469.9766206912
89395,92172.2014930366
89396,88682.77663455371
89397,131882.62525490636
89398,107167.38534596915
89399,51292.47026694027
89400,106331.76971567381
89401,48734.18417306462
89402,153987.57796619684
89403,150779.83107707143
89404,89762.91793888084
89405,48834.23585245826
89406,50037.84283715426
89407,56129.50748898304
89408,131062.7442703367
89409,123968.19415614582
89410,133606.67661854645
89411,123664.3331919812
89412,137037.74368257396
89413,141127.1426995665
89414,51140.78185524578
89415,50277.73892979163
89416,112068.61567522002
89417,145421.81253666012
89418,99943.43161778519
89419,58860.349857746194
89420,126653.8223365231
89421,134212.63760621264
89422,109642.86868219635
89423,147275.34759378372
89424,49945.88733036898
89425,113419.47913946028
89426,130287.9601014712
89427,105922.52150120583
89428,115726.37713811648
89429,94448.61453829499
89430,55794.55115705612
89431,133354.29651378494
89432,118532.22356724902
89433,51367.36268740836
89434,51915.94424726845
89435,49396.860493732325
89436,110730.42558373342
89437,54776.90272362186
89438,141966.56369260745
89439,51219.66814927145
89440,139471.39444721938
89441,133550.50558122274
89442,66518.77960917394
89443,108671.84132721255
89444,65680.50592011493
89445,110865.01953272242
89446,94019.24880365939
89447,126751.55862225818
89448,136348.34031907847
89449,142947.55963484588
89450,125116.80199909194
89451,120801.43303835834
89452,127778.55581672743
89453,125037.81725426961
89454,137719.91099898383
89455,114490.42008419924
89456,134327.89105478633
89457,102840.09634407947
89458,143444.9881247584
89459,119766.71008736896
89460,134338.56536072516
89461,110393.65952075849
89462,94269.58444562736
89463,107688.16937034114
89464,157885.6671982187
89465,141156.3521019989
89466,50217.87982027862
89467,124003.4135781109
89468,49286.95116848063
89469,100635.46899528282
89470,50341.65585171282
89471,148796.66747600236
89472,120630.78557618422
89473,131368.19831647453
89474,130747.75626510402
89475,114707.54351156016
89476,155750.20934431528
89477,51973.13520804424
89478,137289.61139532074
89479,128912.41117955862
89480,102607.03862884146
89481,51496.30540435506
89482,51340.77625426614
89483,110025.21143584464
89484,50397.621352132155
89485,122768.73558637392
89486,128509.34679913192
89487,121133.700317696
89488,84561.96171302506
89489,52730.68431299919
89490,91855.84439580498
89491,110262.67217116695
89492,102944.52329694248
89493,50264.284435063375
89494,47183.527349772354
89495,99448.67480427373
89496,99545.38312338674
89497,135622.9249891306
89498,99467.05079061085
89499,51914.31433263765
89500,118697.42100822128
89501,59493.1138642601
89502,48757.333174272644
89503,156132.07431041676
89504,159293.67059955775
89505,82733.94129903972
89506,51451.32188289898
89507,117029.7350539506
89508,96079.2720952619
89509,141360.69482707191
89510,50553.15736843704
89511,125262.40321559252
89512,146256.94367013345
89513,105118.82189274282
89514,132056.38709783147
89515,106308.50503128383
89516,52461.36049604041
89517,102485.61408514694
89518,54090.78919787126
89519,138723.66021494317
89520,57660.939498487394
89521,109704.51249824773
89522,51908.96997315384
89523,51676.45549199067
89524,51136.25026393859
89525,97816.00877603954
89526,55583.71459403222
89527,54138.79178515331
89528,100868.94921568912
89529,111725.78411923384
89530,134144.61680146647
89531,146885.02275061424
89532,50205.93858523275
89533,59430.446419518026
89534,99446.39886916497
89535,110704.48343818769
89536,116064.32393487358
89537,124556.13547037389
89538,140127.27002033967
89539,129041.46328695945
89540,55350.387576962996
89541,117536.92961662315
89542,86162.88245177228
89543,56446.63701012647
89544,112193.55955689805
89545,49424.891671883284
89546,163293.90896636885
89547,97689.9049756552
